file_name,date,match_type,teams,venue,city,winner,gender,overs
1142921.json,2018-07-16,ODI,"Zimbabwe, Pakistan",Queens Sports Club,Bulawayo,Pakistan,male,50
1119548.json,2018-07-17,ODI,"India, England",Headingley,Leeds,England,male,50
1142922.json,2018-07-18,ODI,"Zimbabwe, Pakistan",Queens Sports Club,Bulawayo,Pakistan,male,50
1142923.json,2018-07-20,ODI,"Pakistan, Zimbabwe",Queens Sports Club,Bulawayo,Pakistan,male,50
1142924.json,2018-07-22,ODI,"Pakistan, Zimbabwe",Queens Sports Club,Bulawayo,Pakistan,male,50
1146720.json,2018-07-22,ODI,"Bangladesh, West Indies",Providence Stadium,Guyana,Bangladesh,male,50
1146721.json,2018-07-25,ODI,"West Indies, Bangladesh",Providence Stadium,Guyana,West Indies,male,50
1146722.json,2018-07-28,ODI,"Bangladesh, West Indies","Warner Park, Basseterre",St Kitts,Bangladesh,male,50
1142584.json,2018-07-29,ODI,"Sri Lanka, South Africa",Rangiri Dambulla International Stadium,Unknown,South Africa,male,50
1142585.json,2018-08-01,ODI,"Sri Lanka, South Africa",Rangiri Dambulla International Stadium,Unknown,South Africa,male,50
1142586.json,2018-08-05,ODI,"South Africa, Sri Lanka",Pallekele International Cricket Stadium,Unknown,South Africa,male,50
1142587.json,2018-08-08,ODI,"Sri Lanka, South Africa",Pallekele International Cricket Stadium,Unknown,Sri Lanka,male,50
1142588.json,2018-08-12,ODI,"Sri Lanka, South Africa","R.Premadasa Stadium, Khettarama",Colombo,Sri Lanka,male,50
1154649.json,2018-08-30,ODI,"United Arab Emirates, Nepal",Kinrara Academy Oval,Kuala Lumpur,United Arab Emirates,male,50
1153243.json,2018-09-15,ODI,"Bangladesh, Sri Lanka",Dubai International Cricket Stadium,Unknown,Bangladesh,male,50
1153244.json,2018-09-16,ODI,"Hong Kong, Pakistan",Dubai International Cricket Stadium,Unknown,Pakistan,male,50
1153246.json,2018-09-18,ODI,"India, Hong Kong",Dubai International Cricket Stadium,Unknown,India,male,50
1153247.json,2018-09-19,ODI,"Pakistan, India",Dubai International Cricket Stadium,Unknown,India,male,50
1153249.json,2018-09-21,ODI,"Bangladesh, India",Dubai International Cricket Stadium,Unknown,India,male,50
1153251.json,2018-09-23,ODI,"Pakistan, India",Dubai International Cricket Stadium,Unknown,India,male,50
1153254.json,2018-09-26,ODI,"Bangladesh, Pakistan",Sheikh Zayed Stadium,Abu Dhabi,Bangladesh,male,50
1153255.json,2018-09-28,ODI,"Bangladesh, India",Dubai International Cricket Stadium,Unknown,India,male,50
1144146.json,2018-09-30,ODI,"Zimbabwe, South Africa",Diamond Oval,Kimberley,South Africa,male,50
1144147.json,2018-10-03,ODI,"South Africa, Zimbabwe",Mangaung Oval,Bloemfontein,South Africa,male,50
1144148.json,2018-10-06,ODI,"Zimbabwe, South Africa",Boland Park,Paarl,South Africa,male,50
1140379.json,2018-10-10,ODI,"England, Sri Lanka",Rangiri Dambulla International Stadium,Unknown,No Result,male,50
1140380.json,2018-10-13,ODI,"England, Sri Lanka",Rangiri Dambulla International Stadium,Unknown,England,male,50
1140381.json,2018-10-17,ODI,"Sri Lanka, England",Pallekele International Cricket Stadium,Unknown,England,male,50
1140382.json,2018-10-20,ODI,"Sri Lanka, England",Pallekele International Cricket Stadium,Unknown,England,male,50
1157754.json,2018-10-21,ODI,"West Indies, India",Barsapara Cricket Stadium,Guwahati,India,male,50
1153635.json,2018-10-21,ODI,"Bangladesh, Zimbabwe","Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,male,50
1140383.json,2018-10-23,ODI,"Sri Lanka, England","R.Premadasa Stadium, Khettarama",Colombo,Sri Lanka,male,50
1153636.json,2018-10-24,ODI,"Zimbabwe, Bangladesh",Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,male,50
1157755.json,2018-10-24,ODI,"India, West Indies",Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,No Result,male,50
1153637.json,2018-10-26,ODI,"Zimbabwe, Bangladesh",Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,male,50
